Title;Categories
Journal of Thoracic Oncology;"Medicine (miscellaneous) (Q1); Oncology (Q1); Pulmonary and Respiratory Medicine (Q1)"
Applied Physics Reviews;Physics and Astronomy (miscellaneous) (Q1)
Cold Spring Harbor perspectives in biology;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)
Molecular Neurodegeneration;"Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Neurology (clinical) (Q1)"
Radiology: Artificial Intelligence;"Artificial Intelligence (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
Annual Review of Materials Research;Materials Science (miscellaneous) (Q1)
Political Analysis;"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
Circulation Research;"Cardiology and Cardiovascular Medicine (Q1); Physiology (Q1)"
Developmental Cell;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Cell Biology (Q1); Developmental Biology (Q1); Molecular Biology (Q1)"
IEEE Signal Processing Magazine;"Applied Mathematics (Q1); Electrical and Electronic Engineering (Q1); Music (Q1); Signal Processing (Q1)"
Nano Energy;"Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
Proceedings of the IEEE;"Computer Science (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1)"
Accounting Review;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
Annual Review of Environment and Resources;Environmental Science (miscellaneous) (Q1)
EClinicalMedicine;Medicine (miscellaneous) (Q1)
IEEE Transactions on Power Systems;"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1)"
Journal of Management Studies;"Business and International Management (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
Annals of Internal Medicine;"Internal Medicine (Q1); Medicine (miscellaneous) (Q1)"
Psychological Science in the Public Interest, Supplement;Psychology (miscellaneous) (Q1)
ACS Nano;"Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1); Physics and Astronomy (miscellaneous) (Q1)"
Nature Machine Intelligence;"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Vision and Pattern Recognition (Q1); Human-Computer Interaction (Q1); Software (Q1)"
Protein Science;"Biochemistry (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1)"
Radiology;Radiology, Nuclear Medicine and Imaging (Q1)
Journal of the American Society of Nephrology : JASN;"Medicine (miscellaneous) (Q1); Nephrology (Q1)"
Science advances;Multidisciplinary (Q1)
International Journal of Information Management;"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Marketing (Q1)"
Brain;"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1)"
Perspectives on Psychological Science;Psychology (miscellaneous) (Q1)
Information Fusion;"Hardware and Architecture (Q1); Information Systems (Q1); Signal Processing (Q1); Software (Q1)"
Trends in Genetics;Genetics (Q1)
Inventiones Mathematicae;Mathematics (miscellaneous) (Q1)
Annual Review of Earth and Planetary Sciences;"Astronomy and Astrophysics (Q1); Earth and Planetary Sciences (miscellaneous) (Q1); Space and Planetary Science (Q1)"
Carbon Energy;"Energy (miscellaneous) (Q1); Materials Chemistry (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
IEEE Transactions on Cybernetics;"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1)"
MIS Quarterly: Management Information Systems;"Computer Science Applications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)"
Applied Catalysis B: Environmental;"Catalysis (Q1); Environmental Science (miscellaneous) (Q1); Process Chemistry and Technology (Q1)"
Clinical Psychology Review;"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)"
Ultrasound in Obstetrics and Gynecology;"Medicine (miscellaneous) (Q1); Obstetrics and Gynecology (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1); Reproductive Medicine (Q1)"
Coordination Chemistry Reviews;"Inorganic Chemistry (Q1); Materials Chemistry (Q1); Physical and Theoretical Chemistry (Q1)"
IEEE Transactions on Wireless Communications;"Applied Mathematics (Q1); Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1)"
American Journal of Psychiatry;Psychiatry and Mental Health (Q1)
Journal of the Academy of Marketing Science;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
Eurosurveillance;"Epidemiology (Q1); Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1); Virology (Q1)"
Ophthalmology;Ophthalmology (Q1)
Acta Mathematica;Mathematics (miscellaneous) (Q1)
Journal of the American Statistical Association;"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
Clinical Cancer Research;"Cancer Research (Q1); Oncology (Q1)"
Clinical Infectious Diseases;"Infectious Diseases (Q1); Microbiology (medical) (Q1)"
Microbiome;"Microbiology (Q1); Microbiology (medical) (Q1)"
Journal of International Business Studies;"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
Molecular Psychiatry;"Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Psychiatry and Mental Health (Q1)"
Lancet Child and Adolescent Health, The;"Developmental and Educational Psychology (Q1); Pediatrics, Perinatology and Child Health (Q1)"
Lancet Healthy Longevity, The;"Family Practice (Q1); Geriatrics and Gerontology (Q1); Health (social science) (Q1); Psychiatry and Mental Health (Q1)"
Journal of Management Information Systems;"Computer Science Applications (Q1); Information Systems and Management (Q1); Management Information Systems (Q1); Management Science and Operations Research (Q1)"
Biological Reviews;"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)"
Psychological Review;"History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1)"
Intensive Care Medicine;Critical Care and Intensive Care Medicine (Q1)
European Respiratory Journal;"Medicine (miscellaneous) (Q1); Pulmonary and Respiratory Medicine (Q1)"
IEEE Transactions on Industrial Informatics;"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Information Systems (Q1)"
Cell Discovery;"Biochemistry (Q1); Cell Biology (Q1); Genetics (Q1); Molecular Biology (Q1)"
Nature Reviews Earth and Environment;"Atmospheric Science (Q1); Earth-Surface Processes (Q1); Nature and Landscape Conservation (Q1); Pollution (Q1)"
Journal of Hematology and Oncology;"Cancer Research (Q1); Hematology (Q1); Molecular Biology (Q1); Oncology (Q1)"
Biological Psychiatry;Biological Psychiatry (Q1)
IEEE Transactions on Neural Networks and Learning Systems;"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Science Applications (Q1); Software (Q1)"
Molecular Plant;"Molecular Biology (Q1); Plant Science (Q1)"
ACS Catalysis;"Catalysis (Q1); Chemistry (miscellaneous) (Q1)"
Progress in Human Geography;Geography, Planning and Development (Q1)
Microbiology and Molecular Biology Reviews;"Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (Q1); Molecular Biology (Q1)"
IEEE Journal of Solid-State Circuits;Electrical and Electronic Engineering (Q1)
Proceedings of the National Academy of Sciences of the United States of America;Multidisciplinary (Q1)
PLoS Medicine;"Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1)"
IEEE Transactions on Automatic Control;"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)"
Medical Image Analysis;"Computer Graphics and Computer-Aided Design (Q1); Computer Vision and Pattern Recognition (Q1); Health Informatics (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
Optica;"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)"
IEEE Transactions on Sustainable Energy;Renewable Energy, Sustainability and the Environment (Q1)
Current Climate Change Reports;"Atmospheric Science (Q1); Global and Planetary Change (Q1)"
European Heart Journal;Cardiology and Cardiovascular Medicine (Q1)
Annual Review of Criminology;Law (Q1)
ACS Central Science;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)"
Trends in Biochemical Sciences;"Biochemistry (Q1); Molecular Biology (Q1)"
IEEE Transactions on Fuzzy Systems;"Applied Mathematics (Q1); Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Control and Systems Engineering (Q1)"
Academy of Management Perspectives;"Business and International Management (Q1); Marketing (Q1); Strategy and Management (Q1)"
Trends in Neurosciences;Neuroscience (miscellaneous) (Q1)
Kidney International;Nephrology (Q1)
Acta Numerica;"Mathematics (miscellaneous) (Q1); Numerical Analysis (Q1)"
Wiley interdisciplinary reviews. RNA;"Biochemistry (Q1); Molecular Biology (Q1)"
IEEE Transactions on Medical Imaging;"Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1); Radiological and Ultrasound Technology (Q1); Software (Q1)"
EMBO Molecular Medicine;Molecular Medicine (Q1)
FEMS Microbiology Reviews;"Infectious Diseases (Q1); Medicine (miscellaneous) (Q1); Microbiology (Q1)"
Psychotherapy and Psychosomatics;"Applied Psychology (Q1); Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
JAMA network open;Medicine (miscellaneous) (Q1)
IEEE Transactions on Image Processing;"Computer Graphics and Computer-Aided Design (Q1); Software (Q1)"
Leukemia;"Anesthesiology and Pain Medicine (Q1); Cancer Research (Q1); Hematology (Q1); Oncology (Q1)"
Health Affairs;"Health Policy (Q1); Medicine (miscellaneous) (Q1)"
Journal of Strategic Information Systems;"Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)"
Journal of Service Research;"Information Systems (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)"
Annual Review of Pharmacology and Toxicology;"Pharmacology (Q1); Toxicology (Q1)"
Review of Accounting Studies;"Accounting (Q1); Business, Management and Accounting (miscellaneous) (Q1)"
Advanced Science;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Chemical Engineering (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
Journal of Cell Biology;"Cell Biology (Q1); Medicine (miscellaneous) (Q1)"
Matter;Materials Science (miscellaneous) (Q1)
Nano-Micro Letters;"Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Nanoscience and Nanotechnology (Q1); Surfaces, Coatings and Films (Q1)"
PLoS Biology;"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Neuroscience (miscellaneous) (Q1)"
European Journal of Epidemiology;Epidemiology (Q1)
Annual Review of Phytopathology;"Medicine (miscellaneous) (Q1); Plant Science (Q1)"
Internet and Higher Education;"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Education (Q1); E-learning (Q1)"
Nano Today;"Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Materials Science (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1); Pharmaceutical Science (Q1)"
IEEE Vehicular Technology Magazine;Automotive Engineering (Q1)
Annual Review of Cancer Biology;"Cancer Research (Q1); Cell Biology (Q1); Oncology (Q1)"
Journal of Organizational Behavior;"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Psychology (miscellaneous) (Q1); Sociology and Political Science (Q1)"
Annals of Neurology;"Neurology (Q1); Neurology (clinical) (Q1)"
Research in Organizational Behavior;"Experimental and Cognitive Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Social Psychology (Q1)"
British Journal of Sports Medicine;"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)"
Remote Sensing of Environment;"Computers in Earth Sciences (Q1); Geology (Q1); Soil Science (Q1)"
Organization Studies;"Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)"
International Journal of Management Reviews;"Decision Sciences (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
IEEE Internet of Things Journal;"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Information Systems and Management (Q1); Signal Processing (Q1)"
Drug Resistance Updates;"Cancer Research (Q1); Infectious Diseases (Q1); Oncology (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1)"
Foundations and Trends in Computer Graphics and Vision;Computer Vision and Pattern Recognition (Q1)
Information Systems Research;"Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)"
Journal of Thrombosis and Haemostasis;"Hematology (Q1); Medicine (miscellaneous) (Q1)"
Journal of Public Administration Research and Theory;"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
Journal of Allergy and Clinical Immunology;"Immunology (Q1); Immunology and Allergy (Q1)"
Sports Medicine;"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)"
Review of Finance;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
Automatica;"Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)"
California Management Review;Strategy and Management (Q1)
Nano Letters;"Bioengineering (Q1); Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Nanoscience and Nanotechnology (Q1)"
