Title;Publisher
Cellular and Molecular Immunology;Nature Publishing Group
Annals of Probability;Institute of Mathematical Statistics
npj Vaccines;Nature Publishing Group
Investigative Radiology;Lippincott Williams and Wilkins Ltd.
Journal of Manufacturing Systems;Elsevier
American Journal of Obstetrics and Gynecology;Mosby Inc.
EcoSal Plus;American Society for Microbiology
Journal of Applied Econometrics;John Wiley and Sons Ltd
Advanced Drug Delivery Reviews;Elsevier
Sociology of Education;SAGE Publications Inc.
Chemistry of Materials;American Chemical Society
Review of Research in Education;SAGE Publications Inc.
Conservation Letters;"John Wiley &amp; Sons Inc."
Journal of Neurology, Neurosurgery and Psychiatry;BMJ Publishing Group
Quarterly Journal of the Royal Meteorological Society;Wiley-Blackwell
British Journal of Political Science;Cambridge University Press
Current Opinion in Immunology;Elsevier Ltd.
Sleep Medicine Reviews;Elsevier BV
Seminars in Cancer Biology;Academic Press Inc.
Journal of the European Mathematical Society;European Mathematical Society Publishing House
Research on Language and Social Interaction;Routledge
Research Synthesis Methods;John Wiley and Sons Ltd
Theoretical Economics;Wiley-Blackwell
Current Biology;Cell Press
Human Relations;SAGE Publications Ltd
Philosophical Review, The;Duke University Press
Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery;"John Wiley &amp; Sons Inc."
npj Flexible Electronics;Nature Publishing Group
Cement and Concrete Composites;Elsevier Ltd.
Development (Cambridge);Company of Biologists Ltd
Quantitative Marketing and Economics;Kluwer Academic Publishers
Mycosphere;Guizhou Key Laboratory of Agricultural Biotechnology
JACC: Basic to Translational Science;Elsevier Inc.
Chemical Science;Royal Society of Chemistry
Genetics in Medicine;Lippincott Williams and Wilkins Ltd.
Behavior Research Methods;Springer Nature
IUCrJ;International Union of Crystallography
Robotics and Computer-Integrated Manufacturing;Elsevier Ltd.
Child Development Perspectives;Wiley-Blackwell Publishing Ltd
European Journal of Cancer;Elsevier Ltd.
Global Strategy Journal;"John Wiley &amp; Sons Inc."
European Heart Journal Cardiovascular Imaging;Oxford University Press
npj Breast Cancer;Nature Publishing Group
Journal of Statistical Software;University of California at Los Angeles
Journal of Service Management;Emerald Group Publishing Ltd.
Alimentary Pharmacology and Therapeutics;Wiley-Blackwell Publishing Ltd
Bone Research;Nature Publishing Group
Foundations and Trends in Communications and Information Theory;Now Publishers Inc
National Science Review;Oxford University Press
Comprehensive Physiology;Wiley-Blackwell
Human Resource Management Review;Elsevier Ltd.
Progress in Lipid Research;Elsevier Ltd.
International Journal of Epidemiology;Oxford University Press
JHEP Reports;Elsevier BV
Transportation Research, Part E: Logistics and Transportation Review;Elsevier Ltd.
Organizational Behavior and Human Decision Processes;Academic Press Inc.
Journal of Peasant Studies;Routledge
Duke Mathematical Journal;Duke University Press
Energy Conversion and Management;Elsevier Ltd.
Acta Materialia;Elsevier Ltd.
Additive Manufacturing;Elsevier BV
European Journal of Political Research;Wiley-Blackwell Publishing Ltd
Information Systems Journal;Wiley-Blackwell Publishing Ltd
Journal of Urban Economics;Academic Press Inc.
Political Behavior;Springer New York
Transportation Science;INFORMS Institute for Operations Research and the Management Sciences
International Journal of Production Economics;Elsevier
Journal of the ACM;Association for Computing Machinery (ACM)
IEEE Wireless Communications Letters;IEEE Communications Society
Water Research;Elsevier Ltd.
Journal of Vocational Behavior;Academic Press Inc.
Annals of PDE;Springer Science + Business Media
Journal of the Association of Environmental and Resource Economists;University of Chicago Press
Blood Reviews;Churchill Livingstone
Blood advances;Elsevier BV
Mathematical Programming;Springer-Verlag GmbH and Co. KG
Proceedings - IEEE INFOCOM;Institute of Electrical and Electronics Engineers Inc.
Public Administration Review;Wiley-Blackwell
Nous;Wiley-Blackwell
Journal of Clinical Microbiology;American Society for Microbiology
Neural Networks;Elsevier Ltd.
International Journal of Production Research;Taylor and Francis Ltd.
Natural Product Reports;Royal Society of Chemistry
Progress in Quantum Electronics;Elsevier Ltd.
Diabetes;American Diabetes Association Inc.
Evolution Letters;Wiley-Blackwell Publishing Ltd
Mechanical Systems and Signal Processing;Academic Press Inc.
mBio;American Society for Microbiology
ACM Transactions on Intelligent Systems and Technology;Association for Computing Machinery (ACM)
Journal of Product Innovation Management;Wiley-Blackwell Publishing Ltd
Environment international;Elsevier Ltd.
Cytokine and Growth Factor Reviews;Elsevier BV
Periodontology 2000;Blackwell Munksgaard
Aging Cell;Wiley-Blackwell Publishing Ltd
Journal of Autoimmunity;Academic Press Inc.
Journal of Teacher Education;SAGE Publications Inc.
Stata Journal;DPC Nederland
NeuroImage;Academic Press Inc.
Journal of Industrial Information Integration;Elsevier BV
Plant Communications;Cell Press
Omega;Elsevier BV
IEEE Transactions on Multimedia;Institute of Electrical and Electronics Engineers Inc.
Metabolism: Clinical and Experimental;W.B. Saunders Ltd
Journal of World Business;Elsevier Inc.
International Journal of Plasticity;Elsevier Ltd.
Swarm and Evolutionary Computation;Elsevier BV
American Journal of Sociology;University of Chicago
Essays in Biochemistry;Portland Press, Ltd.
Nature reviews. Rheumatology;Nature Publishing Group
Strategic Organization;SAGE Publications Ltd
Journal of Photochemistry and Photobiology C: Photochemistry Reviews;Elsevier
Applied Linguistics;Oxford University Press
Business and Society;SAGE Publications Ltd
Global Ecology and Biogeography;Wiley-Blackwell Publishing Ltd
IEEE Transactions on Services Computing;Institute of Electrical and Electronics Engineers Inc.
Quantum;Verein zur Forderung des Open Access Publizierens in den Quantenwissenschaften
Cardiovascular Research;Oxford University Press
Journal of Research in Science Teaching;"John Wiley &amp; Sons Inc."
Environmental Science and Technology Letters;American Chemical Society
Journal of Advertising;M.E. Sharpe Inc.
Journal of Clinical Periodontology;Blackwell Munksgaard
PLoS Genetics;Public Library of Science
Plant Biotechnology Journal;Wiley-Blackwell Publishing Ltd
Human Resource Management;Wiley-Liss Inc.
Journal of Anxiety Disorders;Elsevier Ltd.
Cambridge Journal of Regions, Economy and Society;Oxford University Press
Journal of Economic Theory;Academic Press Inc.
Memoirs of the American Mathematical Society;American Mathematical Society
Clinical Gastroenterology and Hepatology;W.B. Saunders Ltd
Journal of Neuroscience;Society for Neuroscience
Materials Today Nano;Elsevier Ltd.
Physiology;American Physiological Society
Critical Care Medicine;Lippincott Williams and Wilkins Ltd.
International Journal of Computer-Supported Collaborative Learning;Springer Publishing Company
Molecular Metabolism;Elsevier GmbH
American Journal of Gastroenterology;Springer Nature
IEEE Journal of Emerging and Selected Topics in Power Electronics;Institute of Electrical and Electronics Engineers Inc.
IEEE Transactions on Signal Processing;Institute of Electrical and Electronics Engineers Inc.
Trends in Biotechnology;Elsevier Ltd.
Kidney International Supplements;Elsevier Inc.
Arteriosclerosis, Thrombosis, and Vascular Biology;Lippincott Williams and Wilkins Ltd.
Biomaterials;Elsevier BV
BMC Biology;BioMed Central Ltd.
Nanoscale Horizons;Royal Society of Chemistry
Archive for Rational Mechanics and Analysis;Springer New York
EBioMedicine;Elsevier BV
Geometric and Functional Analysis;Birkhauser Verlag Basel
Diabetes Technology and Therapeutics;Mary Ann Liebert Inc.
Neuroscience and Biobehavioral Reviews;Elsevier Ltd.
Depression and Anxiety;Wiley-Blackwell Publishing Ltd
Journal of Medical Virology;Wiley-Liss Inc.
Soil Biology and Biochemistry;Elsevier Ltd.
Journal of NeuroInterventional Surgery;BMJ Publishing Group
Contemporary Educational Psychology;Academic Press Inc.
Cell Chemical Biology;Elsevier Inc.
American Journal of Science;Yale University
Nature Astronomy;Nature Publishing Group
Experimental and Molecular Medicine;Korean Society of Med. Biochemistry and Mol. Biology
Journal of Abnormal Psychology;American Psychological Association
British Journal of Anaesthesia;Elsevier Ltd.
Cellular and Molecular Gastroenterology and Hepatology;Elsevier Inc.
Economic Geography;Taylor and Francis Ltd.
Astrophysical Journal Letters;American Astronomical Society
Protein and Cell;Higher Education Press
"Environmental Science &amp; Technology";American Chemical Society
Mind;Oxford University Press
Small Business Economics;Springer Netherlands
Economic Policy;Oxford University Press
Earth's Future;"John Wiley &amp; Sons Inc."
npj Quantum Materials;Nature Publishing Group
Journal of Educational Psychology;American Psychological Association
Structure;Cell Press
Annual Review of Animal Biosciences;Annual Reviews Inc.
IEEE Transactions on Cognitive Communications and Networking;Institute of Electrical and Electronics Engineers Inc.
Bulletin of the World Health Organization;World Health Organization
American Educational Research Journal;SAGE Publications Ltd
Wiley Interdisciplinary Reviews: Climate Change;"John Wiley &amp; Sons Inc."
Proceedings of the Annual ACM-SIAM Symposium on Discrete Algorithms;Association for Computing Machinery (ACM)
Cours specialises;Societe Mathematique de France
American Journal of Hematology;Wiley-Liss Inc.
GLIA;"John Wiley &amp; Sons Inc."
PLoS Pathogens;Public Library of Science
Journal of Big Data;SpringerOpen
Journal of Molecular Biology;Academic Press Inc.
Canadian Journal of Agricultural Economics;Wiley-Blackwell
Resources, Conservation and Recycling;Elsevier
IEEE Transactions on Control of Network Systems;
Annual Review of Biomedical Engineering;Annual Reviews Inc.
Neurology;Lippincott Williams and Wilkins Ltd.
NPG Asia Materials;Nature Publishing Group
Journal of Communication;Wiley-Blackwell
Traffic;Blackwell Munksgaard
Environmental Innovation and Societal Transitions;Elsevier BV
Review of Environmental Economics and Policy;University of Chicago Press
Environment and Planning D: Society and Space;SAGE Publications Inc.
GigaScience;Oxford University Press
American Heart Journal;Mosby Inc.
Comprehensive Reviews in Food Science and Food Safety;Wiley-Blackwell
Computer Science Review;Elsevier Ireland Ltd
Geometry and Topology;University of Warwick
Journal of Human Resources;University of Wisconsin Press
Acta Psychiatrica Scandinavica;Wiley-Blackwell Publishing Ltd
Information and Management;Elsevier
Energy Research and Social Science;Elsevier Ltd.
CCS Chemistry;Chinese Chemical Society
Implementation Science;BioMed Central Ltd.
Energy Economics;Elsevier
Current Opinion in Chemical Biology;Elsevier Ltd.
Journal of Consulting and Clinical Psychology;American Psychological Association
AIDS Patient Care and STDs;Mary Ann Liebert Inc.
RNA;Cold Spring Harbor Laboratory Press
American Journal of Kidney Diseases;W.B. Saunders Ltd
Pediatrics;American Academy of Pediatrics
IEEE Symposium on VLSI Circuits, Digest of Technical Papers;Institute of Electrical and Electronics Engineers Inc.
Journal of Pathology;John Wiley and Sons Ltd
Energy and AI;Elsevier BV
Obesity Reviews;Wiley-Blackwell Publishing Ltd
Communication Monographs;Routledge
Annual Review of Nutrition;Annual Reviews Inc.
Atmospheric Chemistry and Physics;European Geosciences Union
International Journal of Research in Marketing;Elsevier
Geoscientific Model Development;Copernicus Gesellschaft mbH
Haematologica;Ferrata Storti Foundation
Stochastic Systems;INFORMS Institute for Operations Research and the Management Sciences
